,ls_ret,long_excess_ret,short_excess_ret,ic
2017-01-02,0.0,,,
2017-01-03,0.0,-0.009819209289438316,0.009819209289438316,
2017-01-04,0.0,-0.011566183044626659,0.011566183044626659,
2017-01-05,0.0,-0.0015148020964527518,0.0015148020964527518,
2017-01-06,0.0,0.0064358220192424955,-0.0064358220192424955,
2017-01-09,0.0,-0.006681924397554345,0.006681924397554345,
2017-01-10,0.0,0.003861838258801887,-0.003861838258801887,
2017-01-11,0.0,0.011290320541394264,-0.011290320541394264,
2017-01-12,0.0,0.010311647359156434,-0.010311647359156434,
2017-01-13,0.0,0.01730827160671864,-0.01730827160671864,
2017-01-16,0.0,0.03275166285526568,-0.03275166285526568,
2017-01-17,0.0,-0.011398069705331554,0.011398069705331554,
2017-01-18,0.0,0.00398360677310494,-0.00398360677310494,
2017-01-19,0.0,0.0035271874318636275,-0.0035271874318636275,
2017-01-20,0.0,-0.01546035318308815,0.01546035318308815,
2017-01-23,0.0,-0.010424519345551945,0.010424519345551945,
2017-01-24,0.0,0.0037265256608314283,-0.0037265256608314283,
2017-01-25,0.0,-0.0036140539001716034,0.0036140539001716034,
2017-01-26,0.0,-0.007577262756237883,0.007577262756237883,
2017-01-27,0.0,,,
2017-01-30,0.0,,,
2017-01-31,0.0,,,
2017-02-01,0.0,,,
2017-02-02,0.0,,,
2017-02-03,0.0,0.003909610748766967,-0.003909610748766967,
2017-02-06,0.0,-0.011110412765549776,0.011110412765549776,
2017-02-07,0.0,0.00034025278606269435,-0.00034025278606269435,
2017-02-08,0.0,-0.008013192599962445,0.008013192599962445,
2017-02-09,0.0,-0.0074454454087925954,0.0074454454087925954,
2017-02-10,0.0,-0.00015606778134595134,0.00015606778134595134,
2017-02-13,0.0,-0.00801580322211946,0.00801580322211946,
2017-02-14,0.0,-0.0008510790660036823,0.0008510790660036823,
2017-02-15,0.0,0.009411907875596997,-0.009411907875596997,
2017-02-16,0.0,-0.007317527392118597,0.007317527392118597,
2017-02-17,0.0,0.008480532773569157,-0.008480532773569157,
2017-02-20,0.0,-0.010536884945073044,0.010536884945073044,
2017-02-21,0.0,-0.009574079344404159,0.009574079344404159,
2017-02-22,0.0,-0.004388184656896209,0.004388184656896209,
2017-02-23,0.0,-0.0009795392407139498,0.0009795392407139498,
2017-02-24,0.0,-0.0034198376485595036,0.0034198376485595036,
2017-02-27,0.0,0.007274632182312656,-0.007274632182312656,
2017-02-28,0.0,-0.005579596741963776,0.005579596741963776,
2017-03-01,0.0,-0.0028951377491354736,0.0028951377491354736,
2017-03-02,0.0,0.004128812868432537,-0.004128812868432537,
2017-03-03,0.0,-0.0022734311537510083,0.0022734311537510083,
2017-03-06,0.0,-0.01219696288226741,0.01219696288226741,
2017-03-07,0.0,-0.0022968588210175067,0.0022968588210175067,
2017-03-08,0.0,0.003992083976888736,-0.003992083976888736,
2017-03-09,0.0,0.009374924606567865,-0.009374924606567865,
2017-03-10,0.0,-0.0007166759248426194,0.0007166759248426194,
2017-03-13,0.0,-0.009469174603623894,0.009469174603623894,
2017-03-14,0.0,0.002100014902707707,-0.002100014902707707,
2017-03-15,0.0,0.000438716652068242,-0.000438716652068242,
2017-03-16,0.0,-0.012452945866173832,0.012452945866173832,
2017-03-17,0.0,0.010366150059463933,-0.010366150059463933,
2017-03-20,0.0,-0.005255084158867736,0.005255084158867736,
2017-03-21,0.0,-0.001989934239858096,0.001989934239858096,
2017-03-22,0.0,0.003852620255323338,-0.003852620255323338,
2017-03-23,0.0,-0.0004638929369354473,0.0004638929369354473,
2017-03-24,0.0,-0.0045510937309264105,0.0045510937309264105,
2017-03-27,0.0,0.0018790991082574863,-0.0018790991082574863,
2017-03-28,0.0,0.0038601449406521957,-0.0038601449406521957,
2017-03-29,0.0,0.00805748574774933,-0.00805748574774933,
2017-03-30,0.0,0.020684005056355804,-0.020684005056355804,
2017-03-31,0.0,-0.0027382082996584038,0.0027382082996584038,
2017-04-03,0.0,,,
2017-04-04,0.0,,,
2017-04-05,0.0,-0.02153110935102992,0.02153110935102992,
2017-04-06,0.0,-0.003120103304448879,0.003120103304448879,
2017-04-07,0.0,-0.00017535793018045646,0.00017535793018045646,
2017-04-10,0.0,0.010607828561452289,-0.010607828561452289,
2017-04-11,0.0,-0.011282234237896618,0.011282234237896618,
2017-04-12,0.0,0.008462294049350949,-0.008462294049350949,
2017-04-13,0.0,-0.004178661349006873,0.004178661349006873,
2017-04-14,0.0,0.015471120169088396,-0.015471120169088396,
2017-04-17,0.0,0.01581502871159396,-0.01581502871159396,
2017-04-18,0.0,0.009279995544081045,-0.009279995544081045,
2017-04-19,0.0,0.009857172670307314,-0.009857172670307314,
2017-04-20,0.0,0.0035507390056645906,-0.0035507390056645906,
2017-04-21,0.0,0.005377075177118518,-0.005377075177118518,
2017-04-24,0.0,0.028415127466671564,-0.028415127466671564,
2017-04-25,0.0,-0.004220436319413439,0.004220436319413439,
2017-04-26,0.0,-0.0030053241118639254,0.0030053241118639254,
2017-04-27,0.0,-0.007607983960526156,0.007607983960526156,
2017-04-28,0.0,-0.0051420255957912945,0.0051420255957912945,
2017-05-01,0.0,,,
2017-05-02,0.0,0.0008737189826038212,-0.0008737189826038212,
2017-05-03,0.0,0.0015344782974317727,-0.0015344782974317727,
2017-05-04,0.0,0.00572616453743095,-0.00572616453743095,
2017-05-05,0.0,0.015533499327255845,-0.015533499327255845,
2017-05-08,0.0,0.021081187162196795,-0.021081187162196795,
2017-05-09,0.0,-0.009394466507510739,0.009394466507510739,
2017-05-10,0.0,0.020082434646747013,-0.020082434646747013,
2017-05-11,0.0,0.004872148079047962,-0.004872148079047962,
2017-05-12,0.0,0.0007994372516387378,-0.0007994372516387378,
2017-05-15,0.0,-0.0031199765507986307,0.0031199765507986307,
2017-05-16,0.0,-0.021534230453830277,0.021534230453830277,
2017-05-17,0.0,-0.003926331185643363,0.003926331185643363,
2017-05-18,0.0,0.008081855286513296,-0.008081855286513296,
2017-05-19,0.0,0.0008245586279687287,-0.0008245586279687287,
2017-05-22,0.0,0.02115338557208322,-0.02115338557208322,
2017-05-23,0.0,0.03078929934591264,-0.03078929934591264,
2017-05-24,0.0,-0.0062171567273928245,0.0062171567273928245,
2017-05-25,0.0,-0.01042192479573538,0.01042192479573538,
2017-05-26,0.0,-0.0002607652799548075,0.0002607652799548075,
2017-05-29,0.0,,,
2017-05-30,0.0,,,
2017-05-31,0.0,0.001560505635558953,-0.001560505635558953,
2017-06-01,0.0,0.02735070559548503,-0.02735070559548503,
2017-06-02,0.0,-0.013165724900697688,0.013165724900697688,
2017-06-05,0.0,-0.00981269716087828,0.00981269716087828,
2017-06-06,0.0,-0.004695010187353469,0.004695010187353469,
2017-06-07,0.0,-0.0235190055050649,0.0235190055050649,
2017-06-08,0.0,0.0013408253297995513,-0.0013408253297995513,
2017-06-09,0.0,-0.0014625305692593507,0.0014625305692593507,
2017-06-12,0.0,0.01572014860722192,-0.01572014860722192,
2017-06-13,0.0,-0.016508658795263077,0.016508658795263077,
2017-06-14,0.0,0.0010617198733275947,-0.0010617198733275947,
2017-06-15,0.0,-0.01319105889183962,0.01319105889183962,
2017-06-16,0.0,0.001735237739043514,-0.001735237739043514,
2017-06-19,0.0,-0.008515089991942792,0.008515089991942792,
2017-06-20,0.0,-0.0019388982601963962,0.0019388982601963962,
2017-06-21,0.0,-0.0010752901601100387,0.0010752901601100387,
2017-06-22,0.0,0.016243847224502932,-0.016243847224502932,
2017-06-23,0.0,-0.001376589241370212,0.001376589241370212,
2017-06-26,0.0,-0.015175738565243816,0.015175738565243816,
2017-06-27,0.0,-0.002409115281533729,0.002409115281533729,
2017-06-28,0.0,0.005905954570127239,-0.005905954570127239,
2017-06-29,0.0,-0.00524485055490226,0.00524485055490226,
2017-06-30,0.0,-0.002457151215410182,0.002457151215410182,
2017-07-03,0.0,-0.009775935657089414,0.009775935657089414,
2017-07-04,0.0,0.0031903539142490566,-0.0031903539142490566,
2017-07-05,0.0,-0.009278364514945115,0.009278364514945115,
2017-07-06,0.0,-0.0023608342671015345,0.0023608342671015345,
2017-07-07,0.0,-0.006194252608486805,0.006194252608486805,
2017-07-10,0.0,0.00496951320093947,-0.00496951320093947,
