,ls_ret,long_excess_ret,short_excess_ret,ic
2017-01-02,0.010205894508025413,0.002767569633960607,0.0074383248740648045,-0.168165886165157
2017-01-03,-0.00443410938442213,-0.0005437625006129546,-0.003890346883809175,0.017394043755658898
2017-01-04,-0.008345370658055901,-0.0033104156893647638,-0.0050349549686911355,-0.19281875749873786
2017-01-05,0.0008437212433925947,0.0011478958552468554,-0.00030417461185426077,-0.25036676830379145
2017-01-06,-0.015199352487666164,-0.00847134501531513,-0.0067280074723510275,-0.3757407698146843
2017-01-09,-0.01488827294049331,-0.00527289608640348,-0.009615376854089827,-0.0579426041028818
2017-01-10,-0.020528808466129474,-0.007080399172706312,-0.013448409293423166,-0.10379749946759177
2017-01-11,-0.003077922334548695,-0.0007676077954992108,-0.0023103145390494847,0.07257104331651769
2017-01-12,-0.005330118421967233,-0.003106610917908416,-0.002223507504058817,0.11695645204899156
2017-01-13,0.003815062579501596,0.0012271549881207348,0.0025879075913808605,-0.20536094424904644
2017-01-16,0.005993619605274456,0.0019635058422637452,0.00403011376301071,0.39454678480332345
2017-01-17,-0.011089741878266267,-0.003406629333752059,-0.0076831125445142095,-0.17027188328205348
2017-01-18,0.02538501259159102,0.00889346264533004,0.016491549946260984,-0.2594581035561516
2017-01-19,-0.00822271221372124,-0.0025170935048987987,-0.005705618708822441,0.269645728996538
2017-01-20,-0.01501290205989965,-0.0048400673874247745,-0.010172834672474875,0.09770894879087427
2017-01-23,0.014268485092950773,0.0067900100373334505,0.0074784750556173216,0.030224919232136743
2017-01-24,0.004942786780621103,0.004407794622540366,0.0005349921580807358,0.019251324158609247
2017-01-25,0.0014673069723926376,-0.0007481030798888941,0.0022154100522815317,-0.15118309783555473
2017-01-26,0.0011129568723985783,-0.0004834366446153449,0.0015963935170139236,0.08565419495127549
2017-01-27,-0.0070946981044336145,-0.0011924512861012058,-0.005902246818332408,-0.15017058999794708
2017-01-30,0.004486699048542625,0.001905303774849384,0.00258139527369324,0.019344648479033444
2017-01-31,-0.007617987312679703,-0.0014175258577737715,-0.006200461454905931,0.3410493343154105
2017-02-01,0.0009627480464345933,0.0012320202958431663,-0.00026927224940857374,0.07029539490378212
2017-02-02,0.021661427069122302,0.006687553261319194,0.014973873807803111,0.13343340561148304
2017-02-03,0.0033336433791358775,0.0010976147795734477,0.0022360285995624285,-0.0016532002304953564
2017-02-06,0.006423321813413077,0.0019845910269456965,0.004438730786467382,-0.041393856446176075
2017-02-07,-8.352579920764406e-05,0.001069803965056365,-0.0011533297642640095,0.11264602429287751
2017-02-08,-0.0018711236067684356,-0.0016404366385005201,-0.00023068696826791628,0.04301598828964322
2017-02-09,0.005864637190917621,0.002213662377480305,0.003650974813437317,0.19005104597986638
2017-02-10,0.001988339534303593,0.0007606129033008741,0.001227726631002719,0.020308379107162353
2017-02-13,0.0085733106289499,0.004380946999498682,0.004192363629451219,-0.007776998850221579
2017-02-14,0.0008756500223739995,0.00020107509408807435,0.0006745749282859245,0.014526920531693736
2017-02-15,-0.00035800873487869744,0.0006421361244585682,-0.0010001448593372668,0.02499087503765023
2017-02-16,0.0004982479264952942,-0.0005523288314413528,0.0010505767579366485,0.10202293390137357
2017-02-17,0.0009374411557026925,-0.0009233345020955991,0.0018607756577982918,0.08830138959723909
2017-02-20,0.004770616930845807,0.0027565252747674277,0.002014091656078379,-0.011047941182401612
2017-02-21,0.004296344607801048,0.002874306551471143,0.0014220380563299052,-0.004634123502351756
2017-02-22,-0.00047989877510662144,-0.0014635472391841386,0.0009836484640775162,-0.09317998277053786
2017-02-23,-0.00022487406945324406,0.0009653437102248169,-0.001190217779678062,-0.06580673494295151
2017-02-24,-0.005082252494560419,-0.0025146304351031275,-0.002567622059457292,-0.09793401165747005
2017-02-27,-0.0031957396855696023,-0.001370586685593611,-0.001825152999975992,-0.015403291872947216
2017-02-28,-0.005181349578266173,-0.0008773480040448487,-0.004304001574221322,0.04005416375151383
2017-03-01,-0.0007527340877392589,-0.0015842752669609603,0.0008315411792217003,-0.03065608178877481
2017-03-02,0.001913111719529609,0.0005961061308557688,0.0013170055886738406,0.15812803797792827
2017-03-03,-0.001612064184236792,-0.002305869774121295,0.0006938055898845028,0.06662036074699376
2017-03-06,0.008829291248928745,0.005532089636061265,0.003297201612867481,0.008109002270871463
2017-03-07,0.00296211371246007,0.0007789944656094961,0.0021831192468505754,0.09999895602516713
2017-03-08,0.0003869706520005129,0.001411889990035034,-0.0010249193380345207,-0.11037752512180003
2017-03-09,0.0053781430385304516,0.0037031152512559617,0.0016750277872744912,0.022810047951175597
2017-03-10,-0.005325686740214204,-0.0016264497119903853,-0.0036992370282238184,-0.018580149708005044
2017-03-13,0.001057315131536573,0.0006620275990075887,0.00039528753252898426,0.05735775459407689
2017-03-14,-0.0008262588390859183,-0.0011204692250841967,0.0002942103859982781,-0.05337979924401511
2017-03-15,0.002917981031597114,0.0004384796501612654,0.0024795013814358467,0.129043281667259
2017-03-16,-0.0026243519232143006,-0.002023215113830304,-0.0006011368093839964,0.03459556350388497
2017-03-17,0.006780051635743578,0.0015901744937305597,0.00518987714201302,-0.12327377544158546
2017-03-20,0.0016620098168712379,0.0021393658263455626,-0.0004773560094743247,-0.06385444174889458
2017-03-21,-0.005350902093347302,-0.003430282617669733,-0.001920619475677567,-0.06759240087605953
2017-03-22,-0.003007526132902677,-0.0019219642593493128,-0.0010855618735533638,-0.0023522692600650833
2017-03-23,-0.0029566815252125983,-0.0005388956185054892,-0.002417785906707109,0.098396913135262
2017-03-24,-0.00011813867571808636,0.0001435070241508265,-0.0002616456998689107,0.06793141729901914
2017-03-27,0.005238601190760023,-4.583706276975984e-05,0.005284438253529783,-0.11657362463667886
2017-03-28,0.0037964573044837963,0.0029099924623908805,0.0008864648420929162,0.09315694513788235
2017-03-29,-0.0053507473546368185,-0.003106782636836296,-0.0022439647178005215,0.0508437618019051
2017-03-30,0.004304192451297826,0.001866894932795883,0.0024372975185019434,-0.10242283298159113
2017-03-31,0.002907582628699589,0.001035275126346727,0.0018723075023528608,-0.1727666667233091
2017-04-03,-0.004899847921188912,-0.0040606003626746795,-0.0008392475585142328,-0.07776434155590166
2017-04-04,-0.007582748376248784,-0.0040622921862867485,-0.003520456189962034,0.13397066147094722
2017-04-05,-0.004159629110815516,-0.0025387209030114707,-0.0016209082078040456,-0.08083688315228378
2017-04-06,0.00633348980555164,0.0038027059536484206,0.00253078385190322,0.07316249242855831
2017-04-07,-0.0032534909027340975,-0.0016511130168076196,-0.0016023778859264775,-0.05481724064195408
2017-04-10,0.0031769726931785243,0.0013738184564722773,0.0018031542367062461,0.11310233494550823
