trade_date,ls_ret,long_excess_ret,short_excess_ret,ic
2017-01-03,-0.0014740540734416467,-0.0009471866006395026,-0.000526867472802145,-0.062227318082213025
2017-01-04,0.0018531208467545426,0.0021276515427819803,-0.00027453069602743733,-0.08504099640076652
2017-01-05,-0.0025356158052981573,-0.000860707714729835,-0.0016749080905683223,-0.10068590360445964
2017-01-06,-0.0035366426831199716,-0.0038581236996681305,0.00032148101654815714,0.05263231784917995
2017-01-09,-0.004314359420624186,-0.00318676819029818,-0.0011275912303260064,-0.04183228942808736
2017-01-10,0.0023806562196069148,0.00231743628907764,6.32199305292745e-05,0.09326754333592675
2017-01-11,-0.0018591048080884055,-0.00258961326858502,0.0007305084604966126,0.0024876692121187705
2017-01-12,0.0033536167914307445,0.0011329483068367521,0.002220668484593992,-0.10111561253335628
2017-01-13,3.299861503700159e-05,-0.0014006571673761334,0.0014336557824131367,-0.0037321397651041747
2017-01-16,-0.00736936018154816,-0.005659361615527561,-0.0017099985660205957,-0.21721433102998017
2017-01-17,-0.00010179663402812896,0.003891064711243973,-0.003992861345272103,0.11048566236974842
2017-01-18,-0.010131307518534142,-0.004460393033849782,-0.00567091448468436,0.07101279797731944
2017-01-19,0.004704468209959139,0.0027504568119705412,0.001954011397988598,-0.03764004238362048
2017-01-20,0.0024360464457275285,0.0021314457274497368,0.0003046007182777935,-0.0872011952883225
2017-01-23,-0.001577218797310584,-0.0005228082600781496,-0.0010544105372324343,0.174055602769571
2017-01-24,-0.0037532360547733543,-0.002456916525760546,-0.001296319529012809,0.0380670673665347
2017-01-25,0.006398457150280371,0.002720269923858093,0.003678187226422279,-0.08307201652131184
2017-01-26,0.0013587437071667758,0.0008086961942332486,0.0005500475129335269,0.08126277926143953
2017-02-03,-0.002999331412492699,-0.0012735878346846283,-0.0017257435778080701,-0.19435565857306616
2017-02-06,0.002830027182433351,0.0021192664950689753,0.0007107606873643767,0.01378139431574802
2017-02-07,-0.007092287187459462,-0.001644453698888503,-0.005447833488570958,-0.001899758898890011
2017-02-08,0.0005234646614796447,0.0010174127879625985,-0.0004939481264829518,-0.043615433744709046
2017-02-09,-0.00010979563139735735,-0.0007670126699851308,0.0006572170385877735,0.057257606987466465
2017-02-10,-0.002123608827721358,-0.001064916105283079,-0.0010586927224382793,-0.1479933136600794
2017-02-13,0.0023017515968719758,0.0009660270592895936,0.0013357245375823813,0.14401800962860212
2017-02-14,-0.005328572101295042,-0.0023982431459570906,-0.002930328955337951,-0.16114825525151483
2017-02-15,0.006398710873621859,0.0009907249301905514,0.005407985943431308,0.08012676094855507
2017-02-16,-0.0062878108274670086,-0.0030563234947226783,-0.003231487332744332,-0.09119094701367944
2017-02-17,0.003420470602652573,0.002159476707491308,0.0012609938951612647,0.12794244680847267
2017-02-20,-0.00434638043367451,-0.002646779313630762,-0.0016996011200437477,0.02183367302512241
2017-02-21,0.004838788508155713,0.002588621027137276,0.002250167481018437,0.17258695020266349
2017-02-22,0.0009601917484876185,0.0007922459680066753,0.00016794578048094297,0.13391122444490552
2017-02-23,0.008448275031823778,0.002965878888970245,0.005482396142853533,0.13034305198355667
2017-02-24,0.005899519546915657,0.0018844089038955966,0.0040151106430200605,-0.07104214635896544
2017-02-27,0.005735039271922773,0.0021219666395787366,0.0036130726323440367,0.033912467585086314
2017-02-28,-0.0028548883119518757,-1.664331063401525e-05,-0.0028382450013178604,0.06540747767499862
2017-03-01,0.0013769949663591983,0.0010099596628996856,0.0003670353034595131,0.20546059342838283
2017-03-02,0.002633103290167346,0.0011388640661705658,0.0014942392239967808,0.048504556244568224
2017-03-03,0.009286272913080415,0.0017085171652545784,0.007577755747825836,0.09343689921905858
2017-03-06,0.0017937524185258572,0.00038712420609801276,0.0014066282124278427,-0.006065647684383669
2017-03-07,0.003586083886622756,0.0006590304407007009,0.002927053445922055,0.16846331417357938
2017-03-08,-0.00021347645142805183,0.0008969319882280056,-0.001110408439656057,0.04132304798998808
2017-03-09,0.006153555224239322,0.0023291051271979403,0.003824450097041382,-0.04766348976729567
2017-03-10,0.0015046900715766243,0.0005410702633755214,0.0009636198082011027,0.08427119507593324
2017-03-13,-0.0018560031183285583,-0.0018226031900314115,-3.339992829714741e-05,0.006558338263024934
2017-03-14,0.002980731287684736,0.0022831302955301797,0.0006976009921545565,-0.22241827874469114
2017-03-15,0.0002797164868576729,-0.0002070016623325735,0.00048671814919024644,0.18110728671877302
2017-03-16,-0.007542808779515611,-0.0029816647928305132,-0.004561143986685097,-0.09784287084744198
2017-03-17,0.007099068434156624,0.0033294132382675774,0.0037696551958890465,0.031918837977868146
2017-03-20,-0.004180223093347838,-0.0021790713348739258,-0.0020011517584739118,-0.06810944537367492
2017-03-21,0.0012844495243652127,0.000502315153386924,0.0007821343709782888,-0.048231851438062065
2017-03-22,-0.003108877714734032,-0.0011621003135925704,-0.0019467774011414619,-0.10755769158233743
2017-03-23,-0.0022007594457827103,-0.0010558717005493255,-0.0011448877452333844,-0.007687136747265679
2017-03-24,-0.004464543609676789,-0.001786238344463095,-0.0026783052652136945,0.06663408000972328
2017-03-27,-0.0003458834057028714,0.0024024717792102803,-0.002748355184913152,0.08801180146588614
