,ls_ret,long_excess_ret,short_excess_ret,ic
2017-01-02,0.004770117037787099,0.000455957909947239,0.00431415912783986,0.0654661931932127
2017-01-03,0.001725312016493847,0.0012915609086484882,0.0004337511078453585,0.09923463412571487
2017-01-04,0.0033404498959223247,0.0015772806017994713,0.0017631692941228526,0.32559846398105674
2017-01-05,0.004922139143624414,0.0020755828623703096,0.002846556281254105,0.06719578861012697
2017-01-06,0.025170192765792142,0.009321199999962351,0.015848992765829795,0.24918076699999794
2017-01-09,0.003959110409097393,0.004761580541188073,-0.00080247013209068,0.04569398510187991
2017-01-10,0.013242668525360627,0.009837423668401658,0.0034052448569589673,0.05259094897445285
2017-01-11,0.002433107177611291,0.0017691218185546895,0.0006639853590566028,-0.07854046249008065
2017-01-12,0.0026923914629693015,0.001562787064757205,0.0011296043982120965,-0.08209441796089519
2017-01-13,-0.004078895067367775,-0.0019460280026280365,-0.002132867064739737,0.12502843832911123
2017-01-16,-0.004028939314136934,-0.0022362344198514107,-0.0017927048942855235,-0.2983513314636869
2017-01-17,0.006764880954420735,0.004202277737535118,0.0025626032168856168,0.19818936865947037
2017-01-18,-0.01953592611053355,-0.009920066751753175,-0.009615859358780374,0.174341496774195
2017-01-19,0.009489703201715584,0.005435111699536177,0.004054591502179406,-0.1692767347532335
2017-01-20,0.010132839570361532,0.007832111269407365,0.002300728300954168,0.005384684316344954
2017-01-23,-0.009049159684361551,-0.005072331384765434,-0.003976828299596116,0.012207656595631026
2017-01-24,0.0002628854409487016,0.00026107778973280364,1.8076512158984176e-06,0.03183344456334572
2017-01-25,0.0005718480149947379,0.0008629836070057541,-0.00029113559201101626,0.09902670337611466
2017-01-26,0.0018573525093274687,-0.001854297844760557,0.0037116503540880258,-0.11081373783307977
2017-01-27,0.004659680077594287,0.0038902857585850032,0.0007693943190092839,0.07491872974263102
2017-01-30,-0.005900075683839438,-0.002532523146287491,-0.0033675525375519468,0.007294002450279438
2017-01-31,0.003740280132889848,0.00183985704457427,0.0019004230883155782,-0.15043747461203572
2017-02-01,0.0003633986139330279,-0.0009627528882663128,0.0013261515021993414,-0.1374287561089546
2017-02-02,-0.009588081826369827,-0.009518574771912015,-6.950705445781316e-05,-0.10317694829440673
2017-02-03,-0.006459579821490478,-0.0018403185114863711,-0.004619261310004109,-0.11851674471436605
2017-02-06,-0.004924763997200064,-0.0016947902722607346,-0.0032299737249393305,-0.02736138469437178
2017-02-07,-0.006053631357029373,-0.0038242622705368474,-0.002229369086492527,-0.03921998388855179
2017-02-08,-0.001230000671923632,-0.00018536581793750402,-0.0010446348539861275,-0.018410802951450898
2017-02-09,-0.001984550119741426,-0.000627241258682007,-0.0013573088610594189,0.030006939877199143
2017-02-10,-0.0008245033481157618,-0.0002983711875468968,-0.0005261321605688658,0.028265937473661476
2017-02-13,0.0013643793321259355,-0.0006601003074428102,0.0020244796395687452,0.044114483180273494
2017-02-14,0.0012817866977127084,-2.87093216351543e-05,0.0013104960193478605,-0.013316960473554367
