,factor_33_default,factor_54_default_reversed,factor_13_opt,factor_34_opt,factor_47_opt
factor_33_default,1.0,0.1201657882539209,0.2691882126374444,0.0904704965462083,0.2295759392613085
factor_54_default_reversed,0.1201657882539209,1.0,0.1548370488734481,0.0466750838413029,0.1001825301616431
factor_13_opt,0.2691882126374444,0.1548370488734481,1.0,0.1799952551698381,0.2339273368390602
factor_34_opt,0.0904704965462083,0.0466750838413029,0.1799952551698381,1.0,0.2373640616430992
factor_47_opt,0.2295759392613085,0.1001825301616431,0.2339273368390602,0.2373640616430992,1.0
