factor,params,direction,ls_ar,ls_sr,selected_ar,selected_sr,ic_mean,ic_ir,selected_ic_mean,selected_ic_ir,latest_coverage,n_days,variant
factor_34_reverse_vroc_rank_vol_cov,"{'rank_vol_window': 5, 'cov_window': 20}",1,0.16815380949444228,2.345164420764296,0.16815380949444228,2.345164420764296,0.010352044960829029,2.3117374433874724,0.010352044960829029,2.3117374433874724,0.94,2111,2
factor_47_nonlinear_volume_price_extreme_reversal,"{'poly_window': 30, 'kurt_window': 30, 'kurt_top_window': 5}",1,0.1903887034089661,2.1316691109501993,0.1903887034089661,2.1316691109501993,0.012733048005349952,2.3325851074799377,0.012733048005349952,2.3325851074799377,0.943,2111,5
factor_47_nonlinear_volume_price_extreme_reversal,"{'poly_window': 20, 'kurt_window': 15, 'kurt_top_window': 3}",1,0.1749667266541446,2.126201336997951,0.1749667266541446,2.126201336997951,0.011452845926661973,2.2800490282150863,0.011452845926661973,2.2800490282150863,0.944,2111,2
factor_05_volume_price_divergence_cov,"{'delta_window': 1, 'cov_window': 20}",1,0.2663503827123999,2.103751897522355,0.2663503827123999,2.103751897522355,0.0156145800290893,2.0573139511975254,0.0156145800290893,2.0573139511975254,1.0,2111,2
factor_47_nonlinear_volume_price_extreme_reversal,"{'poly_window': 30, 'kurt_window': 15, 'kurt_top_window': 3}",1,0.17012056543745774,2.075437768476588,0.17012056543745774,2.075437768476588,0.011123380820200443,2.214705192466011,0.011123380820200443,2.214705192466011,0.944,2111,3
factor_13_main_fund_stability,{'window': 5},1,0.29078253847120505,2.0010224127331204,0.29078253847120505,2.0010224127331204,0.017271688034279177,1.961276946278093,0.017271688034279177,1.961276946278093,0.947,2111,2
factor_47_nonlinear_volume_price_extreme_reversal,{},1,0.16750769378665858,1.9932706953927022,0.16750769378665858,1.9932706953927022,0.01103342053914477,2.145815710031922,0.01103342053914477,2.145815710031922,0.944,2111,1
factor_13_main_fund_stability,{},1,0.2970365058239613,1.965661204871184,0.2970365058239613,1.965661204871184,0.017637606617382836,1.9214996283151726,0.017637606617382836,1.9214996283151726,0.946,2111,1
factor_34_reverse_vroc_rank_vol_cov,"{'rank_vol_window': 10, 'cov_window': 20}",1,0.14099525061368132,1.952694594710479,0.14099525061368132,1.952694594710479,0.008524271602370884,1.8920910098566586,0.008524271602370884,1.8920910098566586,0.94,2111,3
factor_13_main_fund_stability,{'window': 15},1,0.29564197714681895,1.9400410647764872,0.29564197714681895,1.9400410647764872,0.017557676374212693,1.8910344240478867,0.017557676374212693,1.8910344240478867,0.946,2111,3
factor_05_volume_price_divergence_cov,{},1,0.25225446162953513,1.9200568045993536,0.25225446162953513,1.9200568045993536,0.014394700444378662,1.8211955388920165,0.014394700444378662,1.8211955388920165,1.0,2111,1
factor_13_main_fund_stability,{'window': 20},1,0.2924076537444772,1.916280778018054,0.2924076537444772,1.916280778018054,0.017318226557611217,1.857035238558778,0.017318226557611217,1.857035238558778,0.944,2111,4
factor_47_nonlinear_volume_price_extreme_reversal,"{'poly_window': 40, 'kurt_window': 20, 'kurt_top_window': 3}",1,0.15113967136381312,1.8079468434832875,0.15113967136381312,1.8079468434832875,0.009978657261103106,1.9557355497307671,0.009978657261103106,1.9557355497307671,0.945,2111,4
factor_13_main_fund_stability,{'window': 30},1,0.27543493533316815,1.8056701559468487,0.27543493533316815,1.8056701559468487,0.016206047472014068,1.7351411604920133,0.016206047472014068,1.7351411604920133,0.938,2111,5
factor_34_reverse_vroc_rank_vol_cov,{},1,0.13828637167756225,1.8024850668726382,0.13828637167756225,1.8024850668726382,0.008403987760820129,1.761475866464316,0.008403987760820129,1.761475866464316,0.94,2111,1
factor_19_price_momentum_fund_volatility_reverse,{'window': 20},1,0.2773820106046768,1.7926865705429076,0.2773820106046768,1.7926865705429076,0.017634365802228394,1.9230321355768156,0.017634365802228394,1.9230321355768156,0.944,2111,4
