factor,factor_id,status,direction,n_days,latest_coverage,ls_ar,ls_sr,selected_ar,selected_sr,long_excess_ar,long_excess_sr,short_excess_ar,short_excess_sr,ic_mean,ic_ir,selected_ic_mean,selected_ic_ir
factor_04_reversal_turnover_enhanced,04,proxy,1,2236,0.949,0.6364403321562883,2.9075177630654623,0.6364403321562883,2.9075177630654623,0.05206256430746321,1.101675882424707,0.5843777678488251,3.23427275968811,0.02568728088456803,2.6590760582894832,0.02568728088456803,2.6590760582894832
factor_07_price_volume_deviation_vol,07,ready,1,2236,0.946,0.4766210366087678,2.436273273512774,0.4766210366087678,2.436273273512774,0.09958241570018499,2.2702021917403594,0.37703862090858287,2.3887498871098085,0.02054320517530375,2.3281645830549538,0.02054320517530375,2.3281645830549538
factor_12_turnover_volatility,12,proxy,1,2236,0.946,0.41863409034518806,2.2607591762416215,0.41863409034518806,2.2607591762416215,0.06943328810182782,1.5099633179696919,0.3492008022433602,2.3875851914763904,0.018042869790972964,1.9715699776361453,0.018042869790972964,1.9715699776361453
factor_13_main_fund_stability,13,local_proxy,1,2236,0.946,0.4208496549061871,2.2523956557907274,0.4208496549061871,2.2523956557907274,0.09727987936244331,2.1300621920149947,0.32356977554374367,2.1945677024606955,0.018516234247106696,2.151080298540024,0.018516234247106696,2.151080298540024
factor_01_residual_volatility,01,ready,1,2236,1.0,0.34662634632494266,2.1670670992130194,0.34662634632494266,2.1670670992130194,0.08527582145413301,2.226375969970606,0.2613505248708097,2.055594201119454,0.015215796198702313,2.121014941376496,0.015215796198702313,2.121014941376496
factor_03_turnover_volatility_momentum,03,proxy,1,2236,0.946,0.3318682873165019,2.096389924459769,0.3318682873165019,2.096389924459769,0.0522396233041076,1.1562405780776657,0.2796286640123943,2.3678736411787185,0.018200912748050357,1.9461912915749924,0.018200912748050357,1.9461912915749924
factor_05_volume_price_divergence_cov,05,local_ready,1,2236,1.0,0.36885410944229596,2.084350774462429,0.36885410944229596,2.084350774462429,0.03715678701037471,0.7259412782734689,0.3316973224319213,2.2513889888870438,0.01530798326720184,2.0707624243284752,0.01530798326720184,2.0707624243284752
factor_44_volume_divergence_composite_momentum,44,proxy,1,2236,0.94,0.32874518676844067,2.0465424262209275,0.32874518676844067,2.0465424262209275,0.06015827909789219,1.7087467626828368,0.2685869076705485,2.081337367680002,0.016683662470619497,1.953876213087706,0.016683662470619497,1.953876213087706
factor_15_multi_dimensional_reversal,15,proxy,1,2236,0.944,0.32524204409324553,1.970183799241615,0.32524204409324553,1.970183799241615,0.059366503439137776,1.4169268956477636,0.2658755406541077,2.1020897863075234,0.017724615648615296,1.8625857984600338,0.017724615648615296,1.8625857984600338
factor_19_price_momentum_fund_volatility_reverse,19,proxy,1,2236,0.946,0.29095691204419455,1.92724082915991,0.29095691204419455,1.92724082915991,0.08350963684937104,1.6644170790109858,0.20744727519482353,1.9703345940962569,0.018920771805487048,2.021402141397883,0.018920771805487048,2.021402141397883
factor_43_turnover_relative_strength_reversal,43,proxy,1,2236,0.902,0.25887318099486545,1.8983330660544828,0.25887318099486545,1.8983330660544828,0.0558181549648039,1.223406625020995,0.2030550260300615,2.0149076678225097,0.014864363068216441,1.8783306458568683,0.014864363068216441,1.8783306458568683
factor_16_price_volume_volatility_negative,16,ready,1,2236,1.0,0.2647900399845937,1.7397837064143074,0.2647900399845937,1.7397837064143074,0.06314859243856001,1.0905733590284048,0.20164144754603366,2.0510309767401647,0.014929147886720884,1.5518217673998378,0.014929147886720884,1.5518217673998378
factor_52_large_outflow_momentum_reversal,52,proxy,1,2236,0.943,0.21984553540004598,1.6912427178720872,0.21984553540004598,1.6912427178720872,-0.02709463285677803,-0.31890374633048957,0.246940168256824,2.4792141549271247,0.009166832644690117,1.8127513580634105,0.009166832644690117,1.8127513580634105
factor_09_vol_adjusted_reversal,09,ready,1,2236,0.993,0.2866714429076081,1.6772504414788432,0.2866714429076081,1.6772504414788432,0.017691418831574386,0.2618352709961298,0.26898002407603366,2.1593149224483343,0.015256118053443065,1.7835742989192989,0.015256118053443065,1.7835742989192989
factor_10_deviation_volume_weighted,10,ready,1,2236,1.0,0.37448801467193765,1.6430354527635445,0.37448801467193765,1.6430354527635445,0.02988436415318617,0.26712876186809476,0.3446036505187514,1.9293345141657907,0.013661035848450258,1.7761339406219139,0.013661035848450258,1.7761339406219139
factor_31_main_elg_flow_rank_diff_decay,31,proxy,1,2236,0.938,0.1467264640182363,1.6272983385875772,0.1467264640182363,1.6272983385875772,0.056598601418649606,1.16923783694856,0.0901278625995867,1.7729682904110293,0.00893310818527204,1.5059149129805862,0.00893310818527204,1.5059149129805862
factor_39_reverse_price_volume_rank,39,ready,1,2236,1.0,0.2474722346824765,1.5531324681563616,0.2474722346824765,1.5531324681563616,0.060636655230234475,1.0173307071773492,0.18683557945224208,1.800261238095325,0.013927732890840518,1.4141559702870592,0.013927732890840518,1.4141559702870592
factor_17_price_fund_volatility_negative,17,proxy,1,2236,0.946,0.24150060137867904,1.522538407593579,0.24150060137867904,1.522538407593579,0.08829968579654845,1.5144048681223725,0.1532009155821306,1.4886627100237169,0.014503716650952932,1.4052895993418275,0.014503716650952932,1.4052895993418275
factor_50_reverse_standardized_decay_volume_price,50,proxy,1,2236,0.994,0.27646076808651093,1.518851246916867,0.27646076808651093,1.518851246916867,-0.00999458346387084,-0.14273977105371474,0.2864553515503818,2.222207493992548,0.01526286027139672,1.5856800383451681,0.01526286027139672,1.5856800383451681
factor_36_short_vol_adjusted_return,36,ready,1,2236,1.0,0.20561367588504226,1.4937369241569267,0.20561367588504226,1.4937369241569267,0.04635376248345382,1.0569901516188338,0.1592599134015884,1.606095605367055,0.011433894474744142,1.34994716717427,0.011433894474744142,1.34994716717427
factor_35_price_spread_momentum,35,local_ready,1,2236,1.0,0.29853188456178414,1.4488438415491198,0.29853188456178414,1.4488438415491198,0.0225729919118078,0.5566100603231277,0.27595889264997636,1.4845727430402926,0.009114448174618497,1.4536253439975022,0.009114448174618497,1.4536253439975022
factor_14_main_fund_peak_reverse_rank,14,proxy,1,2236,0.946,0.1760104257406914,1.4395158786746378,0.1760104257406914,1.4395158786746378,0.06972714322043548,1.3177832752525078,0.10628328252025589,1.4706183849331615,0.01154358275870499,1.4449529909658199,0.01154358275870499,1.4449529909658199
factor_06_ma_filter_reversal,06,local_ready,1,2236,1.0,0.30424239324947744,1.426955322795282,0.30424239324947744,1.426955322795282,0.01262946661411096,0.18692684063896628,0.2916129266353665,1.4793365774649838,0.00814813391934785,1.33373954678142,0.00814813391934785,1.33373954678142
factor_22_rank_momentum_reversal,22,ready,1,2236,1.0,0.23297161004679753,1.335180072884341,0.23297161004679753,1.335180072884341,0.038788189779691416,0.5284035753465586,0.19418342026710608,1.6726607018294704,0.012802235224528837,1.4527400293763755,0.012802235224528837,1.4527400293763755
factor_42_adjusted_price_reversal,42,local_ready,1,2236,1.0,0.2457110922256611,1.3006185210302283,0.2457110922256611,1.3006185210302283,0.011307001973095976,0.15904961196760717,0.23440409025256514,1.7548509873921219,0.01297685630836767,1.3966223094606414,0.01297685630836767,1.3966223094606414
factor_08_liquidity_stability,08,local_ready,1,2236,1.0,0.19523110726876317,1.2230797074530149,0.19523110726876317,1.2230797074530149,0.07091984052102919,0.9480761988272567,0.12431126674773398,1.408989776706868,0.010752777825047483,1.0229032829316393,0.010752777825047483,1.0229032829316393
factor_56_cashflow_price_trend,56,local_proxy,1,2236,0.949,0.1305563159288368,0.9604539136231278,0.1305563159288368,0.9604539136231278,0.0654439277124297,1.0455578447955065,0.0651123882164071,0.852334985181493,0.006942305768145148,0.7970608240767982,0.006942305768145148,0.7970608240767982
factor_41_high_open_momentum_decay,41,local_ready,1,2236,1.0,0.1843878083728316,0.9031977551142119,0.1843878083728316,0.9031977551142119,0.04471417586400942,0.9791530716215996,0.13967363250882217,0.8436930728453336,0.007617112005738717,0.9828691372921499,0.007617112005738717,0.9828691372921499
factor_48_turnover_adjusted_abnormal_price_momentum,48,proxy,-1,2236,0.949,-0.06839552116860124,-0.8940572961045192,0.06839552116860124,0.8940572961045192,-0.047194012461764134,-1.1098536084796142,-0.021201508706837114,-0.5593553650735085,-0.004631383294149764,-0.8979539744273471,0.004631383294149764,0.8979539744273471
factor_02_volume_amount_efficiency,02,ready,1,2236,1.0,0.10679490789449404,0.7253271266382608,0.10679490789449404,0.7253271266382608,0.08506037345660704,0.7846193457843983,0.021734534437887004,0.42840230445771027,0.0048294761589843405,0.7767085143246366,0.0048294761589843405,0.7767085143246366
factor_38_volatility_difference_proxy,38,local_proxy,-1,2236,1.0,-0.01872348461520708,-0.3222160208228444,0.01872348461520708,0.3222160208228444,0.004644809530509339,0.15233359652280912,-0.023368294145716433,-0.6967740789704214,-0.0009271471304712373,-0.26801232158879945,0.0009271471304712373,0.26801232158879945
factor_40_fund_flow_max_drawdown,40,proxy,1,2236,0.946,0.026310480559604665,0.16110120492850025,0.026310480559604665,0.16110120492850025,0.02185933835169093,1.7103033226682407,0.004451142207913743,0.027662390650057544,0.0006334406129123834,0.2989941466395349,0.0006334406129123834,0.2989941466395349
factor_37_volume_stable_close,37,ready,1,2236,1.0,0.015346727738524349,0.14435514711342656,0.015346727738524349,0.14435514711342656,0.004620418393999181,0.074735182117298,0.010726309344525165,0.22579936893055647,0.0006269139342932688,0.09105987999344604,0.0006269139342932688,0.09105987999344604
factor_26_dual_style_ir_spread,26,local_ready,-1,2236,0.944,-0.04334803808277332,-0.1301883330119932,0.04334803808277332,0.1301883330119932,-0.0240614024623307,-0.10479240674251177,-0.0192866356204426,-0.08573272331724424,0.0020151596276781663,0.3908784986753516,-0.0020151596276781663,-0.3908784986753516
