set_size,factors
11,factor_add3_overnight_reversal_3_industry_inv;factor_opt_54_industry_fund_quality_reverse_inv;factor_opt_47_nonlinear_volume_price_extreme_reversal_30_30_5;factor_add3_gap_down_3;factor_add3_intraday_hml_vol_120_industry_inv;factor_add_06_quality_x_flow;factor_add3_f18_decay90_industry;factor_add2_adj_04_f34_10_30_industry;factor_opt_33_reinstatement_residual_vol_ratio_80_20;factor_add3_turnover_weighted_reversal_20_industry;factor_add3_amihud_illiq_10_industry
11,factor_add3_overnight_reversal_3_industry_inv;factor_opt_54_industry_fund_quality_reverse_inv;factor_opt_47_nonlinear_volume_price_extreme_reversal_30_30_5;factor_add3_gap_down_3;factor_add3_intraday_hml_vol_120_industry_inv;factor_add_06_quality_x_flow;factor_add3_f18_decay90_industry;factor_add2_adj_04_f34_10_30_industry;factor_opt_33_reinstatement_residual_vol_ratio_80_20;factor_add3_turnover_weighted_reversal_20_industry;factor_opt_13_main_fund_stability_w5
11,factor_add3_overnight_reversal_3_industry_inv;factor_opt_54_industry_fund_quality_reverse_inv;factor_opt_47_nonlinear_volume_price_extreme_reversal_30_30_5;factor_add3_gap_down_3;factor_add3_intraday_hml_vol_120_industry_inv;factor_add_06_quality_x_flow;factor_add3_f18_decay90_industry;factor_add2_adj_04_f34_10_30_industry;factor_opt_33_reinstatement_residual_vol_ratio_40_20;factor_add3_turnover_weighted_reversal_20_industry;factor_add3_amihud_illiq_10_industry
11,factor_add3_overnight_reversal_3_industry_inv;factor_opt_54_industry_fund_quality_reverse_inv;factor_opt_47_nonlinear_volume_price_extreme_reversal_30_30_5;factor_add3_gap_down_3;factor_add3_intraday_hml_vol_120_industry_inv;factor_add_06_quality_x_flow;factor_add3_f18_decay90_industry;factor_add2_adj_04_f34_10_30_industry;factor_opt_33_reinstatement_residual_vol_ratio_40_20;factor_add3_turnover_weighted_reversal_20_industry;factor_opt_13_main_fund_stability_w5
11,factor_add3_overnight_reversal_3_industry_inv;factor_opt_54_industry_fund_quality_reverse_inv;factor_opt_47_nonlinear_volume_price_extreme_reversal_30_30_5;factor_add3_gap_down_3;factor_add3_intraday_hml_vol_120_industry_inv;factor_add_06_quality_x_flow;factor_add3_f18_decay90_industry;factor_add2_adj_05_f34_15_25_industry;factor_opt_33_reinstatement_residual_vol_ratio_80_20;factor_add3_turnover_weighted_reversal_20_industry;factor_add3_amihud_illiq_10_industry
11,factor_add3_overnight_reversal_3_industry_inv;factor_opt_54_industry_fund_quality_reverse_inv;factor_opt_47_nonlinear_volume_price_extreme_reversal_30_30_5;factor_add3_gap_down_3;factor_add3_intraday_hml_vol_120_industry_inv;factor_add_06_quality_x_flow;factor_add3_f18_decay90_industry;factor_add2_adj_05_f34_15_25_industry;factor_opt_33_reinstatement_residual_vol_ratio_80_20;factor_add3_turnover_weighted_reversal_20_industry;factor_opt_13_main_fund_stability_w5
11,factor_add3_overnight_reversal_3_industry_inv;factor_opt_54_industry_fund_quality_reverse_inv;factor_opt_47_nonlinear_volume_price_extreme_reversal_30_30_5;factor_add3_gap_down_3;factor_add3_intraday_hml_vol_120_industry_inv;factor_add_06_quality_x_flow;factor_add3_f18_decay90_industry;factor_add2_adj_05_f34_15_25_industry;factor_opt_33_reinstatement_residual_vol_ratio_40_20;factor_add3_turnover_weighted_reversal_20_industry;factor_add3_amihud_illiq_10_industry
11,factor_add3_overnight_reversal_3_industry_inv;factor_opt_54_industry_fund_quality_reverse_inv;factor_opt_47_nonlinear_volume_price_extreme_reversal_30_30_5;factor_add3_gap_down_3;factor_add3_intraday_hml_vol_120_industry_inv;factor_add_06_quality_x_flow;factor_add3_f18_decay90_industry;factor_add2_adj_05_f34_15_25_industry;factor_opt_33_reinstatement_residual_vol_ratio_40_20;factor_add3_turnover_weighted_reversal_20_industry;factor_opt_13_main_fund_stability_w5
