,ls_ret,long_excess_ret,short_excess_ret,ic
2017-01-02,0.0020372030187966027,5.195828892056234e-05,0.0019852447298760387,0.022365313814293224
2017-01-03,-0.008517539153303675,-0.0003677369827281531,-0.008149802170575522,0.05041965408609917
2017-01-04,0.0020180503965613722,0.00019189539050165378,0.001826155006059719,0.058427223181588425
2017-01-05,0.00435019822783857,0.00016661365324465403,0.0041835845745939165,-0.01037575008140868
2017-01-06,0.011525273390576503,0.0004725498029979347,0.01105272358757857,0.09561527220968435
2017-01-09,-0.0011551515808796088,-7.239900594645764e-05,-0.001082752574933149,0.04060042431304371
2017-01-10,0.005864612441870554,0.0008531732426200183,0.005011439199250536,0.10189820473710748
2017-01-11,0.0023493880405494093,0.00036919327615437484,0.001980194764395035,0.016855254065364228
2017-01-12,0.005797366398472994,0.0006789988106379052,0.005118367587835088,-0.05895222682598912
2017-01-13,0.002040037473760371,3.6973368520625514e-05,0.0020030641052397446,0.10933032922333415
2017-01-16,-0.008550087790139726,-0.00015937051771277569,-0.008390717272426951,-0.09347609676769522
2017-01-17,0.014286661203407863,0.0003729747794581782,0.013913686423949682,-0.05502242482248587
2017-01-18,-0.01330666123389555,-0.0004708900885218234,-0.012835771145373726,-0.021907346637172097
2017-01-19,-0.006486781788926907,-0.00016016290596931637,-0.00632661888295759,0.0108754829784974
2017-01-20,-0.00365735400921357,-0.00011156051419669404,-0.0035457934950168784,0.03491031878638864
2017-01-23,0.002087318147683252,3.730808958571916e-05,0.0020500100580975334,0.047648900993480924
2017-01-24,0.005223571253295472,0.00011446391328301733,0.005109107340012456,0.0063677620753253995
2017-01-25,0.007573192182181097,0.00011071684996373076,0.007462475332217367,0.024635081973817245
2017-01-26,0.0011324146752402378,1.0420945541094774e-05,0.001121993729699144,-0.023046547563790876
2017-01-27,0.003463650421939304,9.737975714272252e-05,0.0033662706647965817,0.05354854801546275
2017-01-30,-0.0034106897249286906,-1.4996638452008902e-05,-0.003395693086476681,0.019527419356681154
2017-01-31,0.006817246112570549,0.00016623296488911836,0.006651013147681431,0.018708265680875042
2017-02-01,0.002693424506534683,3.20759024038551e-05,0.002661348604130827,0.007984039250662772
2017-02-02,0.00335148093109544,0.00017812788682113057,0.0031733530442743137,0.018514211788553125
2017-02-03,0.0011775950931655142,-7.505605960088021e-05,0.0012526511527663937,-0.041386749001262275
2017-02-06,0.00156765313050297,-6.0673153996890564e-05,0.0016283262844998597,-0.009619865792340691
2017-02-07,-0.003650628749601198,-0.00020363837972014673,-0.0034469903698810516,-0.016103141856832606
2017-02-08,-0.0007991171353898079,2.920607298931635e-06,-0.0008020377426887406,-0.0472409138912296
2017-02-09,-0.0031489687470318247,7.401229981045428e-05,-0.003222981046842278,-0.06247938623427016
2017-02-10,-0.008924929197886337,-0.00012419767937071544,-0.008800731518515622,0.048684149276158724
2017-02-13,-0.006669240783969692,-0.0001996076085674309,-0.006469633175402259,-0.06918373365124
2017-02-14,0.0055314633641782955,0.00013666293383785607,0.005394800430340439,-0.13094155626917117
