industry,pre_neutral_signal_mean,post_neutral_signal_mean
农林牧渔(801010),-0.05619892952813092,-5.616378630215622e-17
基础化工(801030),0.020023287696438345,2.6816810736669678e-17
钢铁(801040),0.08291836826038175,-4.445876500352372e-17
有色金属(801050),-0.1412139856267462,-1.3826497670510769e-17
电子(801080),-0.06425131378283899,7.02746806988113e-17
家用电器(801110),0.07544188787558326,-1.1340210710402904e-16
食品饮料(801120),-0.005099205659083522,4.427768802901138e-18
纺织服饰(801130),0.23517297071600812,-9.023551990399756e-17
轻工制造(801140),0.17566532203265714,-5.953800168239587e-17
医药生物(801150),0.07873718501707128,-8.490480990135242e-19
公用事业(801160),-0.08515825451088128,2.831373038601022e-17
交通运输(801170),0.20083745625359598,2.124524976218544e-17
房地产(801180),-0.0015410117349098462,-8.631581151522535e-17
商贸零售(801200),0.09627608219188813,5.673798682960971e-19
社会服务(801210),0.024538331541143443,5.100377229976619e-17
综合(801230),-0.8615328435656527,-4.2417291855178254e-16
建筑材料(801710),-0.10910682026586503,4.2374681346380694e-18
建筑装饰(801720),-0.001115063184915637,-7.086924251047085e-17
电力设备(801730),-0.04568975508220202,1.1012903392948463e-16
国防军工(801740),-0.02689953967035272,2.952934462426999e-17
计算机(801750),-0.055640158311377585,4.44690370859351e-17
传媒(801760),-0.08902398037352084,4.446863751571889e-18
通信(801770),-0.054452091272934766,2.7137946260312368e-17
银行(801780),-1.1231530170326587,3.156312087288842e-16
非银金融(801790),-0.28975458424484235,4.711646231621707e-17
汽车(801880),0.0700539202120454,1.5996638755491105e-18
机械设备(801890),0.09010526906127667,-6.856335822959433e-17
煤炭(801950),-0.18573633827112956,2.6738596925266196e-17
石油石化(801960),0.0589692958977575,-1.2348401803843122e-16
环保(801970),0.10517194717760135,-3.373312677973255e-17
美容护理(801980),-0.2348832800784546,2.4668397682602354e-16
