trade_date,portfolio_ret,benchmark_ret,excess_ret,neutral_ls_ret,excess_win
2018-01-31,-0.020455869089106238,-0.020892475949416234,0.00044814073329080273,0.012946996437955827,True
2018-02-28,-0.024240792800094946,-0.02459339817554318,0.00035479680474748143,0.007591037408783308,True
2018-03-31,0.060054296175424016,0.058797699683436955,0.001180014449575273,0.025835048792035575,True
2018-04-30,-0.019158746914299973,-0.02072155163273981,0.0015917608622679769,0.03015436248655723,True
2018-05-31,-0.017517137471084188,-0.017553762183394217,4.135661361748255e-05,-0.0011570821249161645,True
2018-06-30,-0.09122631483945232,-0.09123408843477265,6.231398988809644e-06,-0.0007762968470691467,True
2018-07-31,0.009011352514437299,0.007206706325407097,0.001800438583953179,0.03984962775487588,True
2018-08-31,-0.06834380188375966,-0.06821054584345065,-0.00013422476162872066,-0.0033875499758182492,False
2018-09-30,-0.008448260632436866,-0.008396347595044484,-4.865208613458183e-05,-0.0021647533899188387,False
2018-10-31,-0.10311758153717843,-0.10379045426407107,0.0007713573818297625,0.019297913853751902,True
2018-11-30,0.06591284569849876,0.06435341419202079,0.0014502143719512528,0.03260645469846324,True
2018-12-31,-0.03940459430982013,-0.04051595144833908,0.0011515554753664947,0.027189598880962507,True
2019-01-31,0.0003552796629180399,-0.0003473921168417604,0.0007034279537598831,0.017401533084968612,True
2019-02-28,0.23562653123874355,0.23370815367868514,0.0015687442215095437,0.034187440483164355,True
2019-03-31,0.12488664635088687,0.12293789557902435,0.0016890441960712987,0.02994657745259488,True
2019-04-30,-0.025495704977078537,-0.028236850858858964,0.0027653838211114667,0.04495870673086122,True
2019-05-31,-0.040788214909915244,-0.04190001908437613,0.0011100389493023943,0.017799703035231262,True
2019-06-30,0.010752979770786597,0.009288237389530662,0.0014474170696094912,0.029383397153609048,True
2019-07-31,-0.00013887395280942627,-0.0006230379997996804,0.0004825687304370607,0.01235385324856808,True
2019-08-31,0.0054203979195901475,0.005021546515932673,0.00040671958846028033,0.0069668644773555055,True
2019-09-30,0.02604920697418578,0.024381957400337217,0.0016330895515734856,0.03731034911869968,True
2019-10-31,0.0100376073003412,0.009548600213068692,0.0004897328074129348,0.013433399103216948,True
2019-11-30,-0.01373243819675618,-0.01463653149107913,0.0009088889600570305,0.016302508322803666,True
2019-12-31,0.09423698451288032,0.09323553974874321,0.0009158446736747816,0.016564562639472147,True
2020-01-31,0.022301054908116402,0.022495637612413022,-0.0001818948235036144,-0.005050783719954155,False
2020-02-29,0.027546482842109032,0.028694136947475135,-0.0010640509202890502,-0.013394086631823177,False
2020-03-31,-0.06521206822881764,-0.06701149571043297,0.001918966272007161,0.04085237029604216,True
2020-04-30,0.04697678871629951,0.04502476010345213,0.0018618052869392443,0.041363454218140916,True
2020-05-31,0.022188946541891408,0.021986786129794877,0.00019940031739884567,0.007421189065172529,True
2020-06-30,0.0842769223213593,0.08268905446258978,0.0014696690286057912,0.03712204706674105,True
2020-07-31,0.1294386993643637,0.12868207091630968,0.0006469245133253754,0.01536839177646887,True
2020-08-31,0.02592085343959849,0.022962793775667567,0.0028977601559248,0.06012832710271199,True
2020-09-30,-0.08040011449283013,-0.08050445787817806,3.8956179561511206e-05,-0.0004306121957655673,True
2020-10-31,-0.011829598394107133,-0.011513772752263729,-0.00031930240464939086,-0.0057809090703955235,False
2020-11-30,0.03054584444762498,0.030517908819981843,3.0353636923496907e-05,-0.005194748736414123,True
2020-12-31,-0.01437062162031466,-0.014516517218979952,0.00015928935271491973,0.0021245303208106137,True
2021-01-31,-0.05841595791726395,-0.06021090103354931,0.001921683545458297,0.0392655525829575,True
2021-02-28,0.02666398991798169,0.025846269675007916,0.0008014893898831144,0.017188236721767947,True
2021-03-31,0.0073927563240305805,0.0066950307657369645,0.0006769645950976955,0.016934312307091304,True
2021-04-30,0.012953330084762849,0.010304678675931545,0.0026270803144750055,0.05424012266241118,True
2021-05-31,0.06153763068426721,0.0621018696719271,-0.0005352933168973895,-0.012152958463603203,False
2021-06-30,0.03647744020799282,0.03559911515089054,0.0008463931930728918,0.01803246438596351,True
2021-07-31,0.00046115761077691886,0.0011093931989007988,-0.0006505648429897537,-0.011902315069593494,False
